userID	endDate	COALESCE(feature82,0)	COALESCE(feature98,0)
200	2012-12-06	22	1
200	2012-12-09	2	1
200	2012-12-13	43	1
200	2012-12-16	70	1
300	2012-12-02	1	1
300	2012-12-03	6	1
300	2012-12-10	9	1
300	2012-12-11	1	1
300	2012-12-12	2	1
300	2012-12-18	2	1
300	2012-12-20	29	1
500	2012-12-03	17	1
500	2012-12-10	21	1
500	2012-12-15	7	1
500	2012-12-17	13	1
500	2012-12-21	5	1
500	2012-12-24	10	1
600	2012-12-07	1	1
1100	2012-12-03	7	1
1100	2012-12-06	2	1
1100	2012-12-10	6	1
1100	2012-12-12	5	1
1100	2012-12-13	1	1
1100	2012-12-14	51	1
1100	2012-12-17	24	1
1300	2012-12-12	10	1
1500	2012-12-10	2	1
1600	2012-12-07	14	1
1600	2012-12-14	23	1
1600	2012-12-17	27	1
1700	2012-12-04	82	2
1700	2012-12-06	2	1
1700	2012-12-17	10	1
1700	2012-12-18	8	1
2100	2012-12-03	6	1
2100	2012-12-04	93	1
2100	2012-12-06	19	1
2100	2012-12-07	6	1
2100	2012-12-10	4	1
2100	2012-12-11	1	1
2100	2012-12-18	44	1
2100	2012-12-20	2	1
2800	2012-12-01	18	1
2800	2012-12-05	5	1
2800	2012-12-06	10	1
2800	2012-12-07	31	1
2800	2012-12-09	11	1
2800	2012-12-10	3	1
2800	2012-12-11	8	1
2800	2012-12-13	3	1
2800	2012-12-14	14	1
2800	2012-12-15	15	1
2800	2012-12-18	22	1
2800	2012-12-21	2	1
3000	2012-12-05	73	1
3000	2012-12-17	22	1
3000	2012-12-21	21	1
3100	2012-12-04	12	1
3100	2012-12-11	15	1
3100	2012-12-14	11	1
3100	2012-12-26	15	1
3200	2012-12-03	1	1
3200	2012-12-04	6	1
3200	2012-12-05	26	1
3200	2012-12-07	4	1
3200	2012-12-08	1	1
3200	2012-12-10	52	1
3200	2012-12-11	4	1
3200	2012-12-12	12	1
3200	2012-12-13	18	1
3200	2012-12-18	55	1
3200	2012-12-19	14	1
3200	2012-12-20	5	1
3200	2012-12-21	3	1
3400	2012-12-05	28	1
3400	2012-12-06	7	1
3500	2012-12-18	4	1
3600	2012-12-11	79	1
3600	2012-12-18	3	1
3600	2012-12-19	1	1
4300	2012-12-04	8	1
4300	2012-12-11	5	1
4500	2012-12-07	1	1
4500	2012-12-11	43	1
4500	2012-12-12	20	1
4700	2012-12-05	1	1
4700	2012-12-06	1	1
4700	2012-12-10	8	1
4700	2012-12-17	2	1
4800	2012-12-03	50	1
4800	2012-12-04	231	1
4800	2012-12-05	90	1
4800	2012-12-06	70	1
4800	2012-12-07	25	1
4800	2012-12-08	51	1
4800	2012-12-09	15	1
4800	2012-12-12	26	1
4800	2012-12-13	29	1
4800	2012-12-14	31	1
4800	2012-12-17	57	1
4800	2012-12-20	35	1
4900	2012-12-13	111	1
4900	2012-12-14	50	1
4900	2012-12-17	11	1
4900	2012-12-19	30	1
5000	2012-12-06	2	1
5000	2012-12-12	2	1
5100	2012-12-03	8	1
5100	2012-12-04	105	1
5100	2012-12-05	35	1
5100	2012-12-06	84	1
5100	2012-12-17	38	1
5100	2012-12-18	22	1
5100	2012-12-19	44	1
5300	2012-12-05	66	1
5300	2012-12-06	51	1
5300	2012-12-07	39	1
5300	2012-12-15	19	1
5300	2012-12-16	106	1
5300	2012-12-19	25	1
5300	2012-12-20	16	1
5300	2012-12-21	11	1
5400	2012-12-03	2	1
5400	2012-12-05	12	1
5400	2012-12-06	2	1
5400	2012-12-07	6	1
5400	2012-12-10	89	1
5400	2012-12-11	28	1
5400	2012-12-12	64	1
5400	2012-12-13	73	1
5400	2012-12-15	86	1
5500	2012-12-05	44	1
5500	2012-12-07	167	1
5500	2012-12-10	254	1
5500	2012-12-12	7	1
5500	2012-12-13	43	1
5500	2012-12-17	71	1
5500	2012-12-18	35	1
5500	2012-12-19	153	1
5600	2012-12-04	7	1
5600	2012-12-05	7	1
5600	2012-12-07	17	1
5600	2012-12-10	1	1
5600	2012-12-11	40	1
5600	2012-12-12	23	1
5600	2012-12-13	6	1
5600	2012-12-21	1	1
5700	2012-12-03	11	1
5800	2012-12-03	9	1
5800	2012-12-06	2	1
5800	2012-12-07	1	1
5800	2012-12-12	4	1
5800	2012-12-13	15	1
5900	2012-12-03	98	1
5900	2012-12-04	177	1
5900	2012-12-05	327	1
5900	2012-12-06	150	1
5900	2012-12-10	185	1
5900	2012-12-11	175	1
5900	2012-12-12	153	1
5900	2012-12-13	174	1
5900	2012-12-14	109	1
5900	2012-12-18	20	1
5900	2012-12-19	100	1
5900	2012-12-20	157	1
5900	2012-12-21	18	1
6000	2012-12-04	2	1
6000	2012-12-05	2	1
6000	2012-12-06	1	1
6000	2012-12-07	4	1
6000	2012-12-12	6	1
6000	2012-12-19	10	1
6100	2012-12-02	3	1
6100	2012-12-03	22	1
6100	2012-12-04	36	1
6100	2012-12-05	133	1
6100	2012-12-10	97	1
6100	2012-12-11	55	1
6100	2012-12-12	28	1
6100	2012-12-13	36	1
